"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","5","1.7","1.0","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","7","2.2","1.2","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","8","3.8","1.5","4.0","+1.0"
"4","","Ezekiel Elliott","DAL","RB4","8","1","11","4.2","1.8","3.0","-1.0"
"5","","Antonio Brown","PIT","WR1","7","1","9","4.3","1.4","5.0","0.0"
"6","","DeAndre Hopkins","HOU","WR2","10","3","16","7.5","2.3","8.0","+2.0"
"7","","Alvin Kamara","NO","RB5","6","2","19","7.7","3.2","6.0","-1.0"
"8","","Odell Beckham Jr.","NYG","WR3","9","4","16","8.9","2.3","10.0","+2.0"
"9","","Saquon Barkley","NYG","RB6","9","3","25","9.2","3.8","7.0","-2.0"
"10","","Julio Jones","ATL","WR4","8","4","19","10.6","2.4","13.0","+3.0"
"11","","Michael Thomas","NO","WR5","6","6","23","12.7","3.1","15.0","+4.0"
"12","","Kareem Hunt","KC","RB7","12","5","26","12.9","4.2","9.0","-3.0"
"13","","Melvin Gordon","LAC","RB8","8","7","22","13.0","3.8","11.0","-2.0"
"14","","Keenan Allen","LAC","WR6","8","9","25","14.4","3.0","16.0","+2.0"
"15","","Leonard Fournette","JAC","RB9","9","6","42","15.5","6.5","12.0","-3.0"
"16","","Dalvin Cook","MIN","RB10","10","7","38","16.2","4.9","14.0","-2.0"
"17","","A.J. Green","CIN","WR7","9","11","22","16.2","2.3","19.0","+2.0"
"18","","Davante Adams","GB","WR8","7","10","23","16.6","3.0","18.0","0.0"
"19","","Devonta Freeman","ATL","RB11","8","14","43","21.4","4.8","20.0","+1.0"
"20","","Mike Evans","TB","WR9","5","13","38","22.3","4.9","22.0","+2.0"
"21","","Christian McCaffrey","CAR","RB12","4","12","49","24.0","6.9","17.0","-4.0"
"22","","Rob Gronkowski","NE","TE1","11","15","59","24.5","7.3","21.0","-1.0"
"23","","Jerick McKinnon","SF","RB13","11","14","57","24.6","7.5","23.0","0.0"
"24","","Jordan Howard","CHI","RB14","5","17","46","26.9","5.2","24.0","0.0"
"25","","T.Y. Hilton","IND","WR10","9","14","64","27.0","7.4","28.0","+3.0"
"26","","Adam Thielen","MIN","WR11","10","16","43","27.6","5.9","29.0","+3.0"
"27","","Doug Baldwin","SEA","WR12","7","18","52","28.9","8.5","33.0","+6.0"
"28","","Travis Kelce","KC","TE2","12","20","54","29.5","6.8","26.0","-2.0"
"29","","Joe Mixon","CIN","RB15","9","14","58","30.6","8.0","25.0","-4.0"
"30","","Stefon Diggs","MIN","WR13","10","17","57","31.2","7.1","32.0","+2.0"
"31","","Larry Fitzgerald","ARI","WR14","9","17","53","31.8","7.3","35.0","+4.0"
"32","","Tyreek Hill","KC","WR15","12","19","60","33.4","7.8","31.0","-1.0"
"33","","Amari Cooper","OAK","WR16","7","21","62","36.6","8.5","37.0","+4.0"
"34","","Demaryius Thomas","DEN","WR17","10","20","65","37.9","7.9","41.0","+7.0"
"35","","LeSean McCoy","BUF","RB16","11","15","102","39.2","18.7","27.0","-8.0"
"36","","Zach Ertz","PHI","TE3","9","16","63","39.2","10.1","34.0","-2.0"
"37","","Allen Robinson","CHI","WR18","5","23","79","40.5","10.5","40.0","+3.0"
"38","","Alex Collins","BAL","RB17","10","24","74","40.7","9.4","45.0","+7.0"
"39","","Aaron Rodgers","GB","QB1","7","26","209","42.4","31.8","30.0","-9.0"
"40","","Golden Tate","DET","WR19","6","26","61","42.3","6.4","44.0","+4.0"
"41","","Alshon Jeffery","PHI","WR20","9","24","70","43.0","9.3","52.0","+11.0"
"42","","Kenyan Drake","MIA","RB18","11","23","92","43.2","12.4","38.0","-4.0"
"43","","Derrius Guice","WAS","RB19","4","24","69","43.5","11.0","36.0","-7.0"
"44","","JuJu Smith-Schuster","PIT","WR21","7","32","77","47.8","9.4","47.0","+3.0"
"45","","Jay Ajayi","PHI","RB20","9","17","82","48.3","11.9","48.0","+3.0"
"46","","Marvin Jones","DET","WR22","6","25","77","51.4","10.5","58.0","+12.0"
"47","","Jarvis Landry","CLE","WR23","11","31","90","52.0","12.7","43.0","-4.0"
"48","","Brandin Cooks","LAR","WR24","12","21","95","52.1","14.1","42.0","-6.0"
"49","","Josh Gordon","CLE","WR25","11","19","115","52.4","18.8","50.0","+1.0"
"50","","Derrick Henry","TEN","RB21","8","27","97","54.1","15.6","39.0","-11.0"
"51","","Lamar Miller","HOU","RB22","10","29","103","54.9","13.9","57.0","+6.0"
"52","","Russell Wilson","SEA","QB2","7","29","81","48.8","9.7","53.0","+1.0"
"53","","Dion Lewis","TEN","RB23","8","37","89","57.3","10.8","61.0","+8.0"
"54","","Mark Ingram","NO","RB24","6","25","96","58.6","15.7","55.0","+1.0"
"55","","Tom Brady","NE","QB3","11","35","78","53.0","9.2","54.0","-1.0"
"56","","Rashaad Penny","SEA","RB25","7","24","127","60.6","19.1","49.0","-7.0"
"57","","Michael Crabtree","BAL","WR26","10","38","113","63.0","13.7","67.0","+10.0"
"58","","Royce Freeman","DEN","RB26","10","33","107","63.4","17.7","56.0","-2.0"
"59","","Greg Olsen","CAR","TE4","4","43","109","63.6","11.4","62.0","+3.0"
"60","","Cam Newton","CAR","QB4","4","36","82","57.7","11.0","66.0","+6.0"
"61","","Corey Davis","TEN","WR27","8","39","126","65.0","15.7","64.0","+3.0"
"62","","Deshaun Watson","HOU","QB5","10","31","87","59.8","12.2","46.0","-16.0"
"63","","Sammy Watkins","KC","WR28","12","37","118","67.3","16.1","69.0","+6.0"
"64","","Chris Hogan","NE","WR29","11","40","103","67.4","16.6","68.0","+4.0"
"65","","Evan Engram","NYG","TE5","9","22","102","69.3","14.4","63.0","-2.0"
"66","","Ronald Jones II","TB","RB27","5","34","185","69.9","23.3","51.0","-15.0"
"67","","Pierre Garcon","SF","WR30","11","41","102","71.3","12.7","83.0","+16.0"
"68","","Emmanuel Sanders","DEN","WR31","10","46","129","72.1","17.7","77.0","+9.0"
"69","","Jimmy Graham","GB","TE6","7","39","126","73.6","16.8","59.0","-10.0"
"70","","Sony Michel","NE","RB28","11","32","161","74.3","24.0","60.0","-10.0"
"71","","Drew Brees","NO","QB6","6","37","108","68.8","14.1","75.0","+4.0"
"72","","Robert Woods","LAR","WR32","12","51","138","75.8","15.0","82.0","+10.0"
"73","","Rex Burkhead","NE","RB29","11","36","136","75.9","22.2","80.0","+7.0"
"74","","Delanie Walker","TEN","TE7","8","37","127","76.2","14.5","72.0","-2.0"
"75","","Tevin Coleman","ATL","RB30","8","33","123","77.5","16.7","70.0","-5.0"
"76","","Carson Wentz","PHI","QB7","9","43","151","71.1","16.0","65.0","-11.0"
"77","","Devin Funchess","CAR","WR33","4","47","131","78.0","14.1","78.0","+1.0"
"78","","Robby Anderson","NYJ","WR34","11","40","130","79.8","17.6","96.0","+18.0"
"79","","Marshawn Lynch","OAK","RB31","7","51","160","80.5","19.9","79.0","0.0"
"80","","Jamison Crowder","WAS","WR35","4","44","145","81.1","18.0","85.0","+5.0"
"81","","Kyle Rudolph","MIN","TE8","10","45","123","81.3","13.8","73.0","-8.0"
"82","","Kirk Cousins","MIN","QB8","10","44","116","76.4","15.5","89.0","+7.0"
"83","","Cooper Kupp","LAR","WR36","12","59","109","83.4","9.7","95.0","+12.0"
"84","","Randall Cobb","GB","WR37","7","43","194","84.8","24.4","92.0","+8.0"
"85","","Marlon Mack","IND","RB32","9","41","147","90.6","20.0","84.0","-1.0"
"86","","Devante Parker","MIA","WR38","11","52","175","91.2","21.2","93.0","+7.0"
"87","","Matthew Stafford","DET","QB9","6","58","140","86.1","15.3","101.0","+14.0"
"88","","Marquise Goodwin","SF","WR39","11","48","135","92.8","18.4","94.0","+6.0"
"89","","Duke Johnson","CLE","RB33","11","45","143","93.8","22.0","88.0","-1.0"
"90","","Will Fuller","HOU","WR40","10","63","140","94.7","16.9","71.0","-19.0"
"91","","Kerryon Johnson","DET","RB34","6","28","143","94.1","24.0","81.0","-10.0"
"92","","Isaiah Crowell","NYJ","RB35","11","53","139","96.5","19.0","87.0","-5.0"
"93","","Trey Burton","CHI","TE9","5","61","145","97.1","16.9","99.0","+6.0"
"94","","Julian Edelman","NE","WR41","11","48","185","97.5","25.3","74.0","-20.0"
"95","","Tarik Cohen","CHI","RB36","5","53","180","98.9","20.7","76.0","-19.0"
"96","","Andrew Luck","IND","QB10","9","48","173","94.1","25.1","90.0","-6.0"
"97","","Chris Thompson","WAS","RB37","4","47","237","98.6","28.2","117.0","+20.0"
"98","","Sterling Shepard","NYG","WR42","9","70","164","99.9","15.4","104.0","+6.0"
"99","","Jordy Nelson","OAK","WR43","7","53","156","101.1","18.8","98.0","-1.0"
"100","","Jordan Reed","WAS","TE10","4","69","186","101.2","17.8","86.0","-14.0"
"101","","Ben Roethlisberger","PIT","QB11","7","63","126","96.1","15.6","103.0","+2.0"
"102","","C.J. Anderson","CAR","RB38","4","47","175","102.8","23.7","109.0","+7.0"
"103","","Jamaal Williams","GB","RB39","7","67","151","99.9","19.6","97.0","-6.0"
"104","","Carlos Hyde","CLE","RB40","11","58","186","104.7","23.2","91.0","-13.0"
"105","","Nelson Agholor","PHI","WR44","9","57","156","104.8","16.6","105.0","0.0"
"106","","Philip Rivers","LAC","QB12","8","61","144","101.1","16.7","111.0","+5.0"
"107","","Kelvin Benjamin","BUF","WR45","11","72","191","107.0","18.3","108.0","+1.0"
"108","","Jimmy Garoppolo","SF","QB13","11","59","147","102.2","19.1","100.0","-8.0"
"109","","Kenny Stills","MIA","WR46","11","52","189","107.1","24.2","120.0","+11.0"
"110","","George Kittle","SF","TE11","11","73","160","114.1","19.5","118.0","+8.0"
"111","","Jack Doyle","IND","TE12","9","73","241","116.9","26.1","112.0","+1.0"
"112","","Matt Ryan","ATL","QB14","8","71","141","111.9","16.9","106.0","-6.0"
"113","","Rishard Matthews","TEN","WR47","8","83","181","113.7","19.2","146.0","+33.0"
"114","","Marqise Lee","JAC","WR48","9","83","236","116.1","27.6","125.0","+11.0"
"115","","Allen Hurns","DAL","WR49","8","54","231","117.4","30.8","115.0","0.0"
"116","","Jared Goff","LAR","QB15","12","76","154","116.3","16.9","110.0","-6.0"
"117","","Patrick Mahomes","KC","QB16","12","64","204","117.3","22.9","114.0","-3.0"
"118","","Marcus Mariota","TEN","QB17","8","70","187","118.0","21.6","123.0","+5.0"
"119","","Ty Montgomery","GB","RB41","7","65","197","125.8","26.2","116.0","-3.0"
"120","","David Njoku","CLE","TE13","11","91","167","127.9","17.5","130.0","+10.0"
"121","","Nick Chubb","CLE","RB42","11","72","215","128.4","25.6","102.0","-19.0"
"122","","Aaron Jones","GB","RB43","7","61","219","127.6","28.9","113.0","-9.0"
"123","","Giovani Bernard","CIN","RB44","9","89","194","127.6","22.2","134.0","+11.0"
"124","","Alex Smith","WAS","QB18","4","66","170","128.9","19.7","126.0","+2.0"
"125","","Josh Doctson","WAS","WR50","4","91","228","132.0","25.1","144.0","+19.0"
"126","","Kenny Golladay","DET","WR51","6","94","212","133.9","26.3","147.0","+21.0"
"127","","Dak Prescott","DAL","QB19","8","83","190","132.7","17.4","131.0","+4.0"
"128","","Devontae Booker","DEN","RB45","10","87","223","134.6","28.5","132.0","+4.0"
"129","","Cameron Meredith","NO","WR52","6","90","212","136.9","29.7","136.0","+7.0"
"130","","O.J. Howard","TB","TE14","5","95","214","139.8","24.7","149.0","+19.0"
"131","","DeSean Jackson","TB","WR53","5","94","223","136.5","27.4","165.0","+34.0"
"132","","D.J. Moore","CAR","WR54","4","79","245","141.8","34.8","119.0","-13.0"
"133","","Theo Riddick","DET","RB46","6","97","210","139.5","19.4","148.0","+15.0"
"134","","Tyler Eifert","CIN","TE15","9","107","231","141.2","21.7","140.0","+6.0"
"135","","James White","NE","RB47","11","86","206","138.9","22.4","145.0","+10.0"
"136","","Bilal Powell","NYJ","RB48","11","83","214","139.6","29.6","173.0","+37.0"
"137","","Tyler Lockett","SEA","WR55","7","85","236","142.5","33.5","163.0","+26.0"
"138","","Charles Clay","BUF","TE16","11","105","208","145.8","21.8","172.0","+34.0"
"139","","Chris Carson","SEA","RB49","7","75","257","148.2","37.2","124.0","-15.0"
"140","","Jacksonville Jaguars","","DST1","9","113","344","146.2","33.0","107.0","-33.0"
"141","","Mohamed Sanu","ATL","WR56","8","92","242","143.2","28.8","171.0","+30.0"
"142","","Eric Ebron","IND","TE17","9","62","201","146.6","24.9","177.0","+35.0"
"143","","Cameron Brate","TB","TE18","5","95","267","149.0","26.4","169.0","+26.0"
"144","","Corey Clement","PHI","RB50","9","97","199","147.1","24.3","137.0","-7.0"
"145","","Minnesota Vikings","","DST2","10","125","363","152.5","34.3","129.0","-16.0"
"146","","Blake Bortles","JAC","QB20","9","81","212","152.3","25.1","174.0","+28.0"
"147","","Mitch Trubisky","CHI","QB21","5","77","211","154.5","21.9","156.0","+9.0"
"148","","Derek Carr","OAK","QB22","7","88","226","155.2","22.8","127.0","-21.0"
"149","","Dez Bryant","FA","WR57","","47","215","136.6","45.7","142.0","-7.0"
"150","","Anthony Miller","CHI","WR58","5","90","237","147.3","33.6","157.0","+7.0"
"151","","Jared Cook","OAK","TE19","7","102","195","152.7","22.1","176.0","+25.0"
"152","","Calvin Ridley","ATL","WR59","8","90","215","153.1","28.4","122.0","-30.0"
"153","","Mike Williams","LAC","WR60","8","90","228","155.5","35.9","141.0","-12.0"
"154","","Philadelphia Eagles","","DST3","9","131","365","159.2","32.8","133.0","-21.0"
"155","","Paul Richardson","WAS","WR61","4","99","248","152.3","31.0","167.0","+12.0"
"156","","D'Onta Foreman","HOU","RB51","10","71","249","157.3","33.0","138.0","-18.0"
"157","","Nyheim Hines","IND","RB52","9","86","244","152.0","35.0","139.0","-18.0"
"158","","Eli Manning","NYG","QB23","9","90","215","160.1","24.2","159.0","+1.0"
"159","","Los Angeles Rams","","DST4","12","121","373","161.7","35.0","121.0","-38.0"
"160","","Latavius Murray","MIN","RB53","10","94","209","158.4","25.3","158.0","-2.0"
"161","","Matt Breida","SF","RB54","11","107","225","159.4","27.8","160.0","-1.0"
"162","","Austin Seferian-Jenkins","JAC","TE20","9","103","253","165.2","30.9","161.0","-1.0"
"163","","Tyrell Williams","LAC","WR62","8","96","245","163.2","41.8","185.0","+22.0"
"164","","Los Angeles Chargers","","DST5","8","134","367","166.2","32.6","153.0","-11.0"
"165","","Ted Ginn","NO","WR63","6","83","231","161.9","29.8","203.0","+38.0"
"166","","Case Keenum","DEN","QB24","10","89","213","165.7","24.7","181.0","+15.0"
"167","","Houston Texans","","DST6","10","136","388","169.0","34.1","151.0","-16.0"
"168","","Denver Broncos","","DST7","10","138","386","170.2","34.9","164.0","-4.0"
"169","","Dede Westbrook","JAC","WR64","9","87","247","165.2","37.3","178.0","+9.0"
"170","","LeGarrette Blount","DET","RB55","6","108","249","167.8","30.1","155.0","-15.0"
"171","","Doug Martin","OAK","RB56","7","103","212","164.3","30.7","150.0","-21.0"
"172","","Jameis Winston","TB","QB25","5","98","238","171.1","31.9","166.0","-6.0"
"173","","Martavis Bryant","OAK","WR65","7","111","255","167.2","30.6","154.0","-19.0"
"174","","Ricky Seals-Jones","ARI","TE21","9","107","235","172.1","29.5","207.0","+33.0"
"175","","Andy Dalton","CIN","QB26","9","95","254","172.6","27.7","184.0","+9.0"
"176","","Peyton Barber","TB","RB57","5","114","245","171.8","31.4","188.0","+12.0"
"177","","Frank Gore","MIA","RB58","11","110","228","169.3","25.0","205.0","+28.0"
"178","","Chris Godwin","TB","WR66","5","74","234","174.3","34.2","179.0","+1.0"
"179","","Michael Gallup","DAL","WR67","8","118","247","170.1","28.4","152.0","-27.0"
"180","","Benjamin Watson","NO","TE22","6","109","232","171.6","27.8","191.0","+11.0"
"181","","Stephen Gostkowski","NE","K1","11","128","274","173.4","23.6","135.0","-46.0"
"182","","Baltimore Ravens","","DST8","10","140","375","177.5","33.0","162.0","-20.0"
"183","","Justin Tucker","BAL","K2","10","143","247","178.4","19.6","143.0","-40.0"
"184","","Greg Zuerlein","LAR","K3","12","141","242","177.6","17.7","128.0","-56.0"
"185","","Austin Hooper","ATL","TE23","8","127","276","182.3","28.4","212.0","+27.0"
"186","","Chris Ivory","BUF","RB59","11","107","268","177.5","35.5","221.0","+35.0"
"187","","Donte Moncrief","JAC","WR68","9","82","246","183.5","37.9","231.0","+44.0"
"188","","Kenneth Dixon","BAL","RB60","10","112","232","177.3","29.9","216.0","+28.0"
"189","","Vance McDonald","PIT","TE24","7","117","294","184.0","32.7","183.0","-6.0"
"190","","Tyrod Taylor","CLE","QB27","11","109","253","185.5","31.3","215.0","+25.0"
"191","","Ryan Tannehill","MIA","QB28","11","91","251","187.9","28.1","218.0","+27.0"
"192","","Mike Gesicki","MIA","TE25","11","121","274","180.9","33.2","168.0","-24.0"
"193","","Austin Ekeler","LAC","RB61","8","108","267","185.1","34.0","192.0","-1.0"
"194","","Quincy Enunwa","NYJ","WR69","11","105","249","187.9","35.0","251.0","+57.0"
"195","","Jordan Wilkins","IND","RB62","9","109","300","180.8","42.3","175.0","-20.0"
"196","","New Orleans Saints","","DST9","6","146","404","189.5","34.6","186.0","-10.0"
"197","","Matt Bryant","ATL","K4","8","146","256","186.1","22.2","198.0","+1.0"
"198","","T.J. Yeldon","JAC","RB63","9","115","250","178.8","29.9","210.0","+12.0"
"199","","Danny Amendola","MIA","WR70","11","114","257","189.6","35.3","187.0","-12.0"
"200","","John Brown","BAL","WR71","10","121","254","190.9","31.5","256.0","+56.0"
"201","","Mike Wallace","PHI","WR72","9","139","249","188.5","27.1","273.0","+72.0"
"202","","Christian Kirk","ARI","WR73","9","95","250","187.0","32.5","182.0","-20.0"
"203","","Jordan Matthews","FA","WR74","","109","350","181.6","48.0","219.0","+16.0"
"204","","Seattle Seahawks","","DST10","7","136","410","196.5","42.9","253.0","+49.0"
"205","","Corey Coleman","BUF","WR75","11","103","274","197.8","41.7","252.0","+47.0"
"206","","New England Patriots","","DST11","11","139","401","192.9","34.5","189.0","-17.0"
"207","","Keelan Cole","JAC","WR76","9","119","246","187.3","29.2","190.0","-17.0"
"208","","Spencer Ware","KC","RB64","12","109","259","190.2","34.1","214.0","+6.0"
"209","","John Ross","CIN","WR77","9","113","263","188.8","42.2","199.0","-10.0"
"210","","Jermaine Kearse","NYJ","WR78","11","113","288","196.1","35.6","276.0","+66.0"
"211","","Darren Sproles","PHI","RB65","9","134","242","185.6","25.4","261.0","+50.0"
"212","","Wil Lutz","NO","K5","6","152","240","193.5","19.2","193.0","-19.0"
"213","","Pittsburgh Steelers","","DST12","7","157","387","198.7","32.9","206.0","-7.0"
"214","","Terrance Williams","DAL","WR79","8","119","258","200.1","37.5","275.0","+61.0"
"215","","Carolina Panthers","","DST13","4","160","391","197.6","32.4","217.0","+2.0"
"216","","Cole Beasley","DAL","WR80","8","117","281","199.6","37.6","232.0","+16.0"
"217","","Samaje Perine","WAS","RB66","4","107","342","193.6","42.1","224.0","+7.0"
"218","","Kansas City Chiefs","","DST14","12","151","418","206.9","39.6","245.0","+27.0"
"219","","Geronimo Allison","GB","WR81","7","128","344","198.2","34.0","200.0","-19.0"
